league_id,league_name,country_id,tier,prior_league_names
UNG1,Nemzeti Bajnokság,178,1,
IT1,Serie A,75,1,
IT4Z,Lega Pro Seconda Divisione - Girone C,75,4,
IT4X,Lega Pro Seconda Divisione - Girone A,75,4,
IT4V,Lega Pro Seconda Divisione - Girone D,75,4,
IT2,Serie B,75,2,
IT3B,Serie C - Girone B,75,3,
NL1,Eredivisie,122,1,
GB2,First Division (- 03/04),189,2,First Division (- 03/04)
A4O,Oberösterreich Liga,127,4,
BE1,Jupiler Pro League,19,1,
C1,Super League,148,1,
GB1,First Division (- 91/92),189,1,First Division (- 91/92)
A2,2. Liga,127,2,
ARGC,Torneo Clausura,9,1,
FR1,Ligue 1,50,1,
FR2,Ligue 2,50,2,
GB3,Second Division (- 03/04),189,3,Second Division (- 03/04)
IT3A,Serie C - Girone A,75,3,
SU1L,Vyschaya Liga (- 1991),221,1,
A1,Bundesliga,127,1,
ES3A,Segunda División B - Grupo I (- 20/21),157,3,
ES3C,Segunda División B - Grupo III (-20/21),157,3,
GEO1,Umaghlesi Liga (bis 12/2016),53,1,Erovnuli Liga
PL1,PKO BP Ekstraklasa,135,1,
RU2,1.Division,141,2,
UKR1,Premier Liga,177,1,
UKR2,Persha Liga,177,2,
WER1,Vysheyshaya Liga,18,1,
A4K,Kärntner Liga,127,4,
C2,Challenge League,148,2,
ES3B,Segunda División B - Grupo II (-20/21),157,3,
IT4Y,Lega Pro Seconda Divisione - Girone B,75,4,
L3,NOFV-Oberliga Mitte (91/92 - 93/94),40,3,NOFV-Oberliga Mitte (91/92 - 93/94); NOFV-Oberliga Süd (91/92 - 93/94); Oberliga Baden-Württemberg (- 93/94); Oberliga Nord (- 93/94); Oberliga Nordrhein (- 93/94); Oberliga Südwest (78/79 - 93/94); Regionalliga Nord (94/95 - 07/08); Regionalliga Nord/Ost (94/95 - 99/00); Regionalliga Süd (94/95 - 07/08); Regionalliga West-Südwest (94/95 - 99/00)
NLAJ,U19 Divisie 1 Frühling,122,Youth,
RU1,Premier Liga,141,1,
TR1,Süper Lig,174,1,
TR2,1.Lig,174,2,
TS1,Chance Liga,172,1,
BRA1,Campeonato Brasileiro Série A,26,1,
CLPD,Liga de Primera,33,1,Torneo Apertura (-2016); Torneo Clausura (-2017); Torneo Transición (-2017)
DK1,Superliga,39,1,
DK2,1.Division,39,2,
ELVA,Eliteliga Vorarlberg (- 2023),127,3,
ES2,LaLiga2,157,2,
L1,Bundesliga,40,1,
NL2,Keuken Kampioen Divisie,122,2,
PO1,Liga Portugal,136,1,
SC1,Scottish Premiership,190,1,
ATRO,Regionalliga Ost,127,3,
BR94,Vysheyshaya Liga 1994/95,18,1,
DK3O,2.Division,39,3,
DK3V,2.Division Aufstiegsrunde,39,3,
ES1,LaLiga,157,1,
GR1,Super League 1,56,1,
GR2,Football League,56,3,
IS1,Besta deild,73,1,
JAP1,"J1 League - First Stage ('93-'95,'97-'04,'15-'16)",77,1,"J1 League - First Stage ('93-'95,'97-'04,'15-'16)"
RLN3,Oberliga Hessen (- 07/08),40,4,Oberliga Hessen (- 07/08); Oberliga Niedersachsen/Bremen (- 03/04); Oberliga Nord (- 07/08); Regionalliga Nord (- 11/12)
RLN4,NOFV-Oberliga Nord (- 07/08),40,4,NOFV-Oberliga Nord (- 07/08); NOFV-Oberliga Süd (- 07/08)
TR4B,3.Lig Grup 2,174,4,
TR4C,3.Lig Grup 3,174,4,
A4ST,Landesliga Steiermark,127,4,
ATRM,Regionalliga Mitte,127,3,
ATRW,Regionalliga West,127,3,
BE2,Challenger Pro League,19,2,
ELTA,Regionalliga Tirol Abstiegsrunde (- 2023),127,3,
ES3D,Segunda División B - Grupo IV (-20/21),157,3,
EST1,Meistriliiga (92/93 bis 97/98),47,1,Meistriliiga (92/93 bis 97/98)
FI1,Veikkausliiga,49,1,
L2,2. Bundesliga,40,2,
LI1,A Lyga,98,1,
RL2,Oberliga Baden-Württemberg (94/95- 07/08),40,4,Oberliga Baden-Württemberg (94/95- 07/08)
RLB3,Oberliga Bayern (94/95- 07/08),40,4,Oberliga Bayern (94/95- 07/08)
RLSW,Oberliga Südwest (94/95 - 07/08),40,4,Oberliga Südwest (94/95 - 07/08)
TR4D,3.Lig Grup 4,174,4,
" ""RLW3""",Oberliga Westfalen (94/95 - 07/08),40,4,
BU1,efbet Liga,28,1,
CSL,Chinese Super League,34,1,
ISR1,Ligat ha'Al,74,1,
MEXA,Liga MX Apertura,110,1,
NO1,Eliteserien,125,1,
RLW3,Oberliga Nordrhein (94/95 - 07/08),40,4,Oberliga Nordrhein (94/95 - 07/08); Regionalliga West (- 11/12)
TR4A,3.Lig Grup 1,174,4,
VLBW,Verbandsliga Württemberg,40,6,
A4B,Burgenlandliga,127,4,
A4S,Salzburger Liga,127,4,
A4T,Regionalliga Tirol,127,4,
CRPD,Primera División Apertura,36,1,
IR1H,Azadegan League (1991 - 2001),71,1,Persian Gulf Pro League
KAS1,Premier Liga,81,1,
MEX2,Liga de Expansión MX Clausura,110,2,
MLS1,Major League Soccer,184,1,
RSK1,K League 1,87,1,"K League - Second Stage ('84,'86,'95,'96,'04-'06)"
SER1,Super Liga Srbije,215,1,
VLBA,Verbandsliga Baden,40,6,
ISR2,Liga Leumit,74,2,
JFL1,Japan Football League (1992-1998),77,2,Japan Football League (1992-1998)
JPL1,Jamaica Premier League,76,1,
NLBB,Beloften Eerste Divisie,122,Reserve,
SC2,Scottish Championship,190,2,
TUN1,Ligue 1,173,1,
CHPR,1. Liga Gruppe 2 (bis 11/12),148,3,1. Liga Gruppe 1 (bis 11/12); 1. Liga Gruppe 2 (bis 11/12); 1. Liga Gruppe 3 (bis 11/12); 1. Liga Gruppe 4 (bis 99/00)
EGY1,Egyptian Premier League,2,1,
EST2,Esiliiga,47,2,
IR1,League of Ireland Premier Division,72,1,
LT1U,A Lyga Übergangsrunde,98,1,
OBLJ,Oberliga Hamburg,40,5,
OBLL,Oberliga Schleswig-Holstein,40,5,
SA1,Saudi Pro League,146,1,
SFA1,Betway Premiership,159,1,
SL1,Prva Liga,155,1,
UN2,Nemzeti Bajnokság II.,178,2,
A4W,Wiener Stadtliga,127,4,
ARG2,Primera Nacional,9,2,
C2I3,2. Liga interregional - Gruppe 3 (bis 11/12),148,4,
C2I5,2. Liga interregional - Gruppe 5 (bis 11/12),148,4,
C2I6,2. Liga interregional - Gruppe 6 (bis 11/12),148,4,
CH18,Swiss U18 Elite League (bis 22/23),148,Youth,
FR3,Championnat National,50,3,
GU1A,Liga Nacional Apertura,58,1,
JAP2,J2 League,77,2,
LET1,Virsliga,92,1,
NLBE,Beloften Eredivisie,122,Reserve,
PL2,Betclic 1 Liga,135,2,
RL1,Oberliga Hamburg / S-H (- 03/04),40,4,Oberliga Hamburg / S-H (- 03/04)
RUJL,U19 M-Liga (- 2023),141,Youth,
SC3,Scottish League One,190,3,
SE1,Allsvenskan,147,1,
WAL1,Cymru Premier,191,1,
A4N,1. Landesliga Niederösterreich,127,4,
A4V,Eliteliga Vorarlberg,127,4,
ALG1,Ligue 1,4,1,
NO2,OBOS-ligaen,125,2,
OBLI,Oberliga Niedersachsen-Ost (- 09/10),40,5,
SC4,Scottish League Two,190,4,
UG2W,Ness Hungary NB II - West,178,2,
UNG2,Ness Hungary NB II - Ost,178,2,
C2I1,2. Liga interregional - Gruppe 1 (bis 11/12),148,4,
GB4,League Two,189,4,
IR2,League of Ireland First Division,72,2,
IT4G,Serie D - Girone G,75,4,
JFL,Japan Football League,77,4,
MEXB,Liga de Expansión MX Apertura,110,2,
OBLH,Oberliga Niedersachsen-West (- 09/10),40,5,
PDV1,Primera División Clausura,36,1,Primera División Clausura 2. Phase (- 17/18)
PO2,Liga Portugal 2,136,2,
RO1,SuperLiga,140,1,
ZYP1,Cyprus League,188,1,
AJ1,A-Junioren Bundesliga Nord/Nordost (- 23/24),40,Youth,
AJ2,A-Junioren Bundesliga West (- 23/24),40,Youth,
AJ3,A-Junioren Bundesliga Süd/Südwest (- 23/24),40,Youth,
BOS1,Premijer Liga Bosne i Hercegovine,24,1,
C2I2,2. Liga interregional - Gruppe 2 (bis 11/12),148,4,
IRN2,Azadegan League,71,2,
LUX1,BGL Ligue,99,1,
SIN1,Singapore Premier League,153,1,
SLO1,Niké Liga,154,1,
C2I4,2. Liga interregional - Gruppe 4 (bis 11/12),148,4,
FI2,Ykkösliiga,49,2,
KR1,SuperSport HNL,37,1,
URU1,Liga AUF Apertura,179,1,
URUE,Campeonato Uruguayo Especial,179,1,
USL,USL First Division (2005 - 2009),184,2,NASL Fall Championship (2013 - 2017); North American Soccer League (2011 - 2012); USL First Division (2005 - 2009); USSF Division 2 Professional League (2010)
VLHM,Verbandsliga Hessen-Mitte,40,6,
VLHN,Verbandsliga Hessen-Nord,40,6,
VZ1C,Liga FUTVE Clausura,182,1,
AJ17,ÖFB Jugendliga U17 (- 2010),127,Youth,
ARM1,Premier League,10,1,
AUS1,A-League Men,12,1,
BH2S,Prva Liga RS,24,2,
CNAT,National League,189,5,
HGKG,Hongkong Premier League,218,1,
IN1L,Super League,68,1,
JGD,ÖFB Jugendliga U19 (- 2010),127,Youth,
LNR3,Landesliga Niederrhein - Gruppe 3 (- 2023),40,6,
OBLK,Bremenliga,40,5,
SB19,Omladinska liga Srbije,215,Youth,
SLI,Sachsenliga,40,6,
TDeC,Liga 1 Clausura,133,1,
THLI,Thüringenliga,40,6,
TS2,Chance Narodni Liga,172,2,
URPL,Liguilla Pre-Libertadores,179,Cup,
VZ1A,Liga FUTVE Apertura,182,1,
BCP1,Campeonato Paulista,26,Cup,
BRBL,Brandenburgliga,40,6,
EC2L,Liga Pro Serie B,44,2,
IS2,Lengjudeild,73,2,
ITJ0,Campionato Primavera Girone D,75,Youth,
ITJ1,Campionato Primavera Girone A,75,Youth,
ITJ2,Campionato Primavera Girone B,75,Youth,
ITJ3,Campionato Primavera Girone C,75,Youth,
KR2,Prva Nogometna Liga,37,2,
MNE1,Meridianbet 1. CFL,216,1,
MNE2,2. CFL,216,2,
NLAE,U19 Divisie 2 Frühling,122,Youth,
NZL1,New Zealand Premiership (- 2021),120,1,
RHL,Rheinlandliga,40,6,
SE2,Superettan,147,2,
TDeA,Torneo Descentralizado (2007 - 2013),133,1,Liga 1 Liguilla A; Liga 1 Liguilla B; Torneo Descentralizado (2007 - 2013); Torneo Descentralizado Segunda Fase
URUC,Liga AUF Clausura,179,1,
UZ1,O'zbekiston Superligasi,180,1,
VLHS,Verbandsliga Hessen-Süd,40,6,
" """"MT1P""""",Premier League (-2024),106,1,
ALB1,Kategoria Superiore,3,1,
BJ1,B-Junioren Bundesliga Nord/Nordost (- 23/24),40,Youth,
BJ2,B-Junioren Bundesliga West (- 23/24),40,Youth,
BJ3,B-Junioren Bundesliga Süd/Südwest (- 23/24),40,Youth,
BRA2,Campeonato Brasileiro Série B,26,2,
BRRS,Campeonato Gaúcho,26,StateChampionship,
FARO,Betri-deildin,208,1,
HO1A,Liga Nacional Apertura,66,1,
INIL,I-League,67,2,
PER2,Liga 2,133,2,
SB17,Kadetska liga Srbije,215,Youth,
SER2,Prva liga Srbije,215,2,
AZ1,Premyer Liqa,13,1,
BOS2,Prva liga FBiH,24,2,
BRCB,Campeonato Baiano,26,StateChampionship,
BRCR,Campeonato Carioca - Taça Rio,26,StateChampionship,
BRga,Campeonato Gaúcho - 2º Turno,26,StateChampionship,
COL1,Liga Dimayor Finalización,83,1,
DKDL,U19 Drenge Ligaen,39,Youth,
HK2L,Hong Kong First Division,218,2,
K3L,Korea National League - Second Stage (2003-2010),87,3,Korea National League (2011-2019); Korea National League - Second Stage (2003-2010)
OBLA,Bayernliga (- 11/12),40,5,
OBLB,Oberliga Baden-Württemberg,40,5,
OBLC,Hessenliga,40,5,
OBLD,Oberliga Südwest (08/09 - 11/12),40,5,
OBLE,NRW-Liga (- 11/12),40,5,
OBLF,NOFV-Oberliga Nord,40,5,
OBLG,NOFV-Oberliga Süd,40,5,
SL2,Druga Liga,155,2,
VIE1,V.League 1,185,1,
BRCE,Campeonato Cearense,26,StateChampionship,
BRNE,Copa do Nordeste,26,Cup,
BU2,Vtora Liga,28,2,
CL2B,Liga de Ascenso,33,2,
CLO,China League One,34,2,
GBRN,Premier Reserve League North,189,Reserve,
GBRS,Premier Reserve League South,189,Reserve,
GR20,Super League U19,56,Youth,
KO1,Superliga e Kosovës,244,1,
LET2,Nakotnes Liga,92,2,
M20A,Liga MX U20 (09/10),110,Youth,Liga MX U20 (09/10)
MAR1,Botola Pro Inwi,107,1,
MO1N,Divizia Nationala (-2017),112,1,Divizia Nationala (-2017)
NIR1,Premiership,192,1,
OLMR,Mittelrheinliga,40,5,
OLNI,Oberliga Niederrhein,40,5,
PN1A,Liga Panameña de Fútbol Apertura,130,1,
RO2,Liga 2,140,2,
RO2B,Liga II - Seria II,140,2,
RPLO,Russian PFL Ost (-2019),141,3,
RPLS,Zweite Liga Division B Gruppe 1 (-2023),141,3,
RPLU,2. Division B Gruppe 4 (-2023),141,3,
RPLW,Zweite Liga Division B Gruppe 2 (-2023),141,3,
RPLZ,Zweite Liga Division B Gruppe 3 (-2023),141,3,
SE3N,Ettan Norra,147,3,
VLW1,Westfalenliga 1,40,6,
VLW2,Westfalenliga 2,40,6,
WER2,Pershaya Liga,18,2,
510,Derde Divisie A,122,4,
511,Derde Divisie B,122,4,
BRGO,Campeonato Goiano,26,StateChampionship,
BRPE,Campeonato Pernambucano,26,StateChampionship,
CHL2,Primera B Clausura (-2016),33,2,Primera B Apertura (-2015); Primera B Clausura (-2016)
CN2A,Championnat National 2 - Groupe A,50,4,
CN2B,Championnat National 2 - Groupe B,50,4,
CN2C,Championnat National 2 - Groupe C,50,4,
CN2D,Championnat National 2 - Groupe D,50,4,
ECSE,Serie A Segunda Etapa (bis 2018),44,1,
FI3A,Kakkonen - Gruppe A,49,4,
GBR,Premier Reserve League,189,Reserve,
J18E,Prinz Takamado U18 Premier League Ost,77,Youth,
JGD2,ÖFB Jugendliga U18,127,Youth,
JGD3,ÖFB Jugendliga U16,127,Youth,
LLSA,Schröder-Liga Saar,40,6,
LNR1,Landesliga Niederrhein - Gruppe 1,40,6,
LUX2,Ehrenpromotion,99,2,
M20C,Liga MX U20 Clausura (- 22/23),110,Youth,
MAZ1,Prva Makedonska Fudbalska Liga,100,1,
NLS6,National League South,189,6,
OBLN,Oberliga Niedersachsen,40,5,
PN1C,Liga Panameña de Fútbol Clausura,130,1,
QSL,Qatar Stars League,137,1,
SE3S,Ettan Södra,147,3,
TR3A,2.Lig Beyaz,174,3,
TR3B,2.Lig Kirmizi,174,3,
UAE1,UAE Pro League,183,1,
URU2,Segunda División - Fase Regular,179,2,
C3AR,Championnat National 3 - Groupe K,50,5,
CH17,Swiss U17 Elite League,148,Youth,
FINJ,A-pojat SM-sarja Qualifikation,49,Youth,
HOC1,Liga Nacional Clausura,66,1,
IT4A,Serie D - Girone A,75,4,
IT4B,Serie D - Girone B,75,4,
IT4C,Serie D - Girone C,75,4,
IT4D,Serie D - Girone D,75,4,
IT4E,Serie D - Girone E,75,4,
IT4F,Serie D - Girone F,75,4,
IT4H,Serie D - Girone H,75,4,
IT4I,Serie D - Girone I,75,4,
JUSÖ,U19 Allsvenskan Södra,147,Youth,
LBMI,Landesliga Bayern Mitte,40,6,
LIB1,Lebanese Premier League,94,1,
LLHA,Landesliga Hansa,40,6,
LLM1,Landesliga Mittelrhein Staffel 1,40,6,
LLM2,Landesliga Mittelrhein Staffel 2,40,6,
NC1A,Liga Primera de Nicaragua Apertura,121,1,
NLN6,National League North,189,6,
NPFL,Nigeria Professional Football League,124,1,
PL3W,2 Liga - Ost,135,3,
PL3Z,2 Liga - West,135,3,
SK2,MONACObet liga,154,2,
SL1C,Primera División Clausura,45,1,
UA3L,Druga Liga,177,3,
VLBE,Berlin-Liga,40,6,
C3HF,Championnat National 3 - Groupe G,50,5,
C3IF,Championnat National 3 - Groupe H,50,5,
CHC1,1. Liga Classic Gruppe 1,148,4,
CHC2,1. Liga Classic Gruppe 2,148,4,
